	ligand	receptor	annotation	pathway
COL2A1|ITGA9_ITGB1	COL2A1	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL2A1|ITGAV_ITGB8	COL2A1	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL2A1|ITGB1_ITGA1	COL2A1	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL2A1|ITGB1_ITGA11	COL2A1	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL2A1|SDC1	COL2A1	SDC1	ECM-Receptor	COLLAGEN
COL2A1|SDC4	COL2A1	SDC4	ECM-Receptor	COLLAGEN
COL3A1|ADGRG1	COL3A1	ADGRG1	Cell-Cell Contact	ADGRG
COL4A1|ADGRG6	COL4A1	ADGRG6	Cell-Cell Contact	ADGRG
COL4A1|CD44	COL4A1	CD44	ECM-Receptor	COLLAGEN
COL4A1|GP6	COL4A1	GP6	ECM-Receptor	COLLAGEN
COL4A1|ITGA10_ITGB1	COL4A1	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL4A1|ITGA2_ITGB1	COL4A1	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL4A1|ITGA3_ITGB1	COL4A1	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL4A1|ITGA9_ITGB1	COL4A1	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL4A1|ITGAV_ITGB8	COL4A1	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL4A1|ITGB1_ITGA1	COL4A1	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL4A1|ITGB1_ITGA11	COL4A1	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL4A1|SDC1	COL4A1	SDC1	ECM-Receptor	COLLAGEN
COL4A1|SDC4	COL4A1	SDC4	ECM-Receptor	COLLAGEN
COL4A2|ADGRG6	COL4A2	ADGRG6	Cell-Cell Contact	ADGRG
COL4A2|CD44	COL4A2	CD44	ECM-Receptor	COLLAGEN
COL4A2|GP6	COL4A2	GP6	ECM-Receptor	COLLAGEN
COL4A2|ITGA10_ITGB1	COL4A2	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL4A2|ITGA2_ITGB1	COL4A2	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL4A2|ITGA3_ITGB1	COL4A2	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL4A2|ITGA9_ITGB1	COL4A2	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL4A2|ITGAV_ITGB8	COL4A2	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL4A2|ITGB1_ITGA1	COL4A2	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL4A2|ITGB1_ITGA11	COL4A2	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL4A2|SDC1	COL4A2	SDC1	ECM-Receptor	COLLAGEN
COL4A2|SDC4	COL4A2	SDC4	ECM-Receptor	COLLAGEN
COL4A3|ADGRG6	COL4A3	ADGRG6	Cell-Cell Contact	ADGRG
COL4A3|CD44	COL4A3	CD44	ECM-Receptor	COLLAGEN
COL4A3|GP6	COL4A3	GP6	ECM-Receptor	COLLAGEN
COL4A3|ITGA10_ITGB1	COL4A3	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL4A3|ITGA2_ITGB1	COL4A3	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL4A3|ITGA3_ITGB1	COL4A3	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL4A3|ITGA9_ITGB1	COL4A3	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL4A3|ITGAV_ITGB8	COL4A3	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL4A3|ITGB1_ITGA1	COL4A3	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL4A3|ITGB1_ITGA11	COL4A3	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL4A3|SDC1	COL4A3	SDC1	ECM-Receptor	COLLAGEN
COL4A3|SDC4	COL4A3	SDC4	ECM-Receptor	COLLAGEN
COL4A4|ADGRG6	COL4A4	ADGRG6	Cell-Cell Contact	ADGRG
COL4A4|CD44	COL4A4	CD44	ECM-Receptor	COLLAGEN
COL4A4|GP6	COL4A4	GP6	ECM-Receptor	COLLAGEN
COL4A4|ITGA10_ITGB1	COL4A4	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL4A4|ITGA2_ITGB1	COL4A4	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL4A4|ITGA3_ITGB1	COL4A4	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL4A4|ITGA9_ITGB1	COL4A4	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL4A4|ITGAV_ITGB8	COL4A4	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL4A4|ITGB1_ITGA1	COL4A4	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL4A4|ITGB1_ITGA11	COL4A4	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL4A4|SDC1	COL4A4	SDC1	ECM-Receptor	COLLAGEN
COL4A4|SDC4	COL4A4	SDC4	ECM-Receptor	COLLAGEN
COL4A5|ADGRG6	COL4A5	ADGRG6	Cell-Cell Contact	ADGRG
COL4A5|CD44	COL4A5	CD44	ECM-Receptor	COLLAGEN
COL4A5|GP6	COL4A5	GP6	ECM-Receptor	COLLAGEN
COL4A5|ITGA10_ITGB1	COL4A5	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL4A5|ITGA2_ITGB1	COL4A5	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL4A5|ITGA3_ITGB1	COL4A5	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL4A5|ITGA9_ITGB1	COL4A5	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL4A5|ITGAV_ITGB8	COL4A5	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL4A5|ITGB1_ITGA1	COL4A5	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL4A5|ITGB1_ITGA11	COL4A5	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL4A5|SDC1	COL4A5	SDC1	ECM-Receptor	COLLAGEN
COL4A5|SDC4	COL4A5	SDC4	ECM-Receptor	COLLAGEN
COL4A6|ADGRG6	COL4A6	ADGRG6	Cell-Cell Contact	ADGRG
COL4A6|CD44	COL4A6	CD44	ECM-Receptor	COLLAGEN
COL4A6|GP6	COL4A6	GP6	ECM-Receptor	COLLAGEN
COL4A6|ITGA10_ITGB1	COL4A6	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL4A6|ITGA2_ITGB1	COL4A6	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL4A6|ITGA3_ITGB1	COL4A6	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL4A6|ITGA9_ITGB1	COL4A6	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL4A6|ITGAV_ITGB8	COL4A6	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL4A6|ITGB1_ITGA1	COL4A6	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL4A6|ITGB1_ITGA11	COL4A6	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL4A6|SDC1	COL4A6	SDC1	ECM-Receptor	COLLAGEN
COL4A6|SDC4	COL4A6	SDC4	ECM-Receptor	COLLAGEN
COL6A1|CD44	COL6A1	CD44	ECM-Receptor	COLLAGEN
COL6A1|GP6	COL6A1	GP6	ECM-Receptor	COLLAGEN
COL6A1|ITGA10_ITGB1	COL6A1	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL6A1|ITGA2_ITGB1	COL6A1	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL6A1|ITGA3_ITGB1	COL6A1	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL6A1|ITGA9_ITGB1	COL6A1	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL6A1|ITGAV_ITGB8	COL6A1	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL6A1|ITGB1_ITGA1	COL6A1	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL6A1|ITGB1_ITGA11	COL6A1	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL6A1|SDC1	COL6A1	SDC1	ECM-Receptor	COLLAGEN
COL6A1|SDC4	COL6A1	SDC4	ECM-Receptor	COLLAGEN
COL6A2|CD44	COL6A2	CD44	ECM-Receptor	COLLAGEN
COL6A2|GP6	COL6A2	GP6	ECM-Receptor	COLLAGEN
COL6A2|ITGA10_ITGB1	COL6A2	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL6A2|ITGA2_ITGB1	COL6A2	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL6A2|ITGA3_ITGB1	COL6A2	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL6A2|ITGA9_ITGB1	COL6A2	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL6A2|ITGAV_ITGB8	COL6A2	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL6A2|ITGB1_ITGA1	COL6A2	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL6A2|ITGB1_ITGA11	COL6A2	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL6A2|SDC1	COL6A2	SDC1	ECM-Receptor	COLLAGEN
COL6A2|SDC4	COL6A2	SDC4	ECM-Receptor	COLLAGEN
COL6A3|CD44	COL6A3	CD44	ECM-Receptor	COLLAGEN
COL6A3|GP6	COL6A3	GP6	ECM-Receptor	COLLAGEN
COL6A3|ITGA10_ITGB1	COL6A3	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL6A3|ITGA2_ITGB1	COL6A3	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL6A3|ITGA3_ITGB1	COL6A3	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL6A3|ITGA9_ITGB1	COL6A3	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL6A3|ITGAV_ITGB8	COL6A3	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL6A3|ITGB1_ITGA1	COL6A3	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL6A3|ITGB1_ITGA11	COL6A3	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL6A3|SDC1	COL6A3	SDC1	ECM-Receptor	COLLAGEN
COL6A3|SDC4	COL6A3	SDC4	ECM-Receptor	COLLAGEN
COL6A5|CD44	COL6A5	CD44	ECM-Receptor	COLLAGEN
COL6A5|GP6	COL6A5	GP6	ECM-Receptor	COLLAGEN
COL6A5|ITGA10_ITGB1	COL6A5	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL6A5|ITGA2_ITGB1	COL6A5	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL6A5|ITGA3_ITGB1	COL6A5	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL6A5|ITGA9_ITGB1	COL6A5	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL6A5|ITGAV_ITGB8	COL6A5	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL6A5|ITGB1_ITGA1	COL6A5	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL6A5|ITGB1_ITGA11	COL6A5	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL6A5|SDC1	COL6A5	SDC1	ECM-Receptor	COLLAGEN
COL6A5|SDC4	COL6A5	SDC4	ECM-Receptor	COLLAGEN
COL6A6|CD44	COL6A6	CD44	ECM-Receptor	COLLAGEN
COL6A6|GP6	COL6A6	GP6	ECM-Receptor	COLLAGEN
COL6A6|ITGA10_ITGB1	COL6A6	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL6A6|ITGA2_ITGB1	COL6A6	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL6A6|ITGA3_ITGB1	COL6A6	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL6A6|ITGA9_ITGB1	COL6A6	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL6A6|ITGAV_ITGB8	COL6A6	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL6A6|ITGB1_ITGA1	COL6A6	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL6A6|ITGB1_ITGA11	COL6A6	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL6A6|SDC1	COL6A6	SDC1	ECM-Receptor	COLLAGEN
COL6A6|SDC4	COL6A6	SDC4	ECM-Receptor	COLLAGEN
COL9A1|CD44	COL9A1	CD44	ECM-Receptor	COLLAGEN
COL9A1|GP6	COL9A1	GP6	ECM-Receptor	COLLAGEN
COL9A1|ITGA10_ITGB1	COL9A1	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL9A1|ITGA2_ITGB1	COL9A1	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL9A1|ITGA3_ITGB1	COL9A1	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL9A1|ITGA9_ITGB1	COL9A1	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL9A1|ITGAV_ITGB8	COL9A1	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL9A1|ITGB1_ITGA1	COL9A1	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL9A1|ITGB1_ITGA11	COL9A1	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL9A1|SDC1	COL9A1	SDC1	ECM-Receptor	COLLAGEN
COL9A1|SDC4	COL9A1	SDC4	ECM-Receptor	COLLAGEN
COL9A2|CD44	COL9A2	CD44	ECM-Receptor	COLLAGEN
COL9A2|GP6	COL9A2	GP6	ECM-Receptor	COLLAGEN
COL9A2|ITGA10_ITGB1	COL9A2	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL9A2|ITGA2_ITGB1	COL9A2	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL9A2|ITGA3_ITGB1	COL9A2	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL9A2|ITGA9_ITGB1	COL9A2	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL9A2|ITGAV_ITGB8	COL9A2	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL9A2|ITGB1_ITGA1	COL9A2	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL9A2|ITGB1_ITGA11	COL9A2	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL9A2|SDC1	COL9A2	SDC1	ECM-Receptor	COLLAGEN
COL9A2|SDC4	COL9A2	SDC4	ECM-Receptor	COLLAGEN
COL9A3|CD44	COL9A3	CD44	ECM-Receptor	COLLAGEN
COL9A3|GP6	COL9A3	GP6	ECM-Receptor	COLLAGEN
COL9A3|ITGA10_ITGB1	COL9A3	ITGA10_ITGB1	ECM-Receptor	COLLAGEN
COL9A3|ITGA2_ITGB1	COL9A3	ITGA2_ITGB1	ECM-Receptor	COLLAGEN
COL9A3|ITGA3_ITGB1	COL9A3	ITGA3_ITGB1	ECM-Receptor	COLLAGEN
COL9A3|ITGA9_ITGB1	COL9A3	ITGA9_ITGB1	ECM-Receptor	COLLAGEN
COL9A3|ITGAV_ITGB8	COL9A3	ITGAV_ITGB8	ECM-Receptor	COLLAGEN
COL9A3|ITGB1_ITGA1	COL9A3	ITGB1_ITGA1	ECM-Receptor	COLLAGEN
COL9A3|ITGB1_ITGA11	COL9A3	ITGB1_ITGA11	ECM-Receptor	COLLAGEN
COL9A3|SDC1	COL9A3	SDC1	ECM-Receptor	COLLAGEN
COL9A3|SDC4	COL9A3	SDC4	ECM-Receptor	COLLAGEN
COMP|CD36	COMP	CD36	ECM-Receptor	THBS
COMP|CD47	COMP	CD47	ECM-Receptor	THBS
COMP|ITGA3_ITGB1	COMP	ITGA3_ITGB1	ECM-Receptor	THBS
COMP|SDC1	COMP	SDC1	ECM-Receptor	THBS
COMP|SDC4	COMP	SDC4	ECM-Receptor	THBS
CORT|SSTR1	CORT	SSTR1	Secreted	SOMATOSTATIN
CORT|SSTR2	CORT	SSTR2	Secreted	SOMATOSTATIN
CORT|SSTR3	CORT	SSTR3	Secreted	SOMATOSTATIN
CORT|SSTR4	CORT	SSTR4	Secreted	SOMATOSTATIN
CORT|SSTR5	CORT	SSTR5	Secreted	SOMATOSTATIN
CRH|CRHR1	CRH	CRHR1	Secreted	CRH
CRH|CRHR2	CRH	CRHR2	Secreted	CRH
CRTAM|CADM1	CRTAM	CADM1	Cell-Cell Contact	CADM
CSF1|CSF1R	CSF1	CSF1R	Secreted	CSF
CSF2|CSF2RB_CSF2RA	CSF2	CSF2RB_CSF2RA	Secreted	IL4
CSF3|CSF3R	CSF3	CSF3R	Secreted	CSF3
CSPG4|ITGA3_ITGB1	CSPG4	ITGA3_ITGB1	Cell-Cell Contact	CSPG4
CTF1|IL6ST_LIFR	CTF1	IL6ST_LIFR	Secreted	LIFR
CTSG|F2R	CTSG	F2R	Secreted	PARs
CTSG|F2RL1	CTSG	F2RL1	Secreted	PARs
CTSG|F2RL2	CTSG	F2RL2	Secreted	PARs
CTSG|F2RL3	CTSG	F2RL3	Secreted	PARs
CTSG|FPR1	CTSG	FPR1	Secreted	CTSG
CTSG|PARD3	CTSG	PARD3	Secreted	PARs
CX3CL1|CX3CR1	CX3CL1	CX3CR1	Secreted	CX3C
CXCL1|ACKR1	CXCL1	ACKR1	Secreted	CXCL
CXCL1|CXCR1	CXCL1	CXCR1	Secreted	CXCL
CXCL1|CXCR2	CXCL1	CXCR2	Secreted	CXCL
CXCL10|ACKR1	CXCL10	ACKR1	Secreted	CXCL
CXCL10|CXCR3	CXCL10	CXCR3	Secreted	CXCL
CXCL11|ACKR1	CXCL11	ACKR1	Secreted	CXCL
CXCL11|ACKR3	CXCL11	ACKR3	Secreted	CXCL
CXCL11|CXCR3	CXCL11	CXCR3	Secreted	CXCL
CXCL12|ACKR3	CXCL12	ACKR3	Secreted	CXCL
CXCL12|CXCR4	CXCL12	CXCR4	Secreted	CXCL
CXCL13|ACKR1	CXCL13	ACKR1	Secreted	CXCL
CXCL13|CXCR3	CXCL13	CXCR3	Secreted	CXCL
CXCL13|CXCR5	CXCL13	CXCR5	Secreted	CXCL
CXCL16|CXCR6	CXCL16	CXCR6	Secreted	CXCL
CXCL2|ACKR1	CXCL2	ACKR1	Secreted	CXCL
CXCL2|CXCR1	CXCL2	CXCR1	Secreted	CXCL
CXCL2|CXCR2	CXCL2	CXCR2	Secreted	CXCL
CXCL3|ACKR1	CXCL3	ACKR1	Secreted	CXCL
CXCL3|CXCR1	CXCL3	CXCR1	Secreted	CXCL
CXCL3|CXCR2	CXCL3	CXCR2	Secreted	CXCL
CXCL5|ACKR1	CXCL5	ACKR1	Secreted	CXCL
CXCL5|CXCR1	CXCL5	CXCR1	Secreted	CXCL
CXCL5|CXCR2	CXCL5	CXCR2	Secreted	CXCL
CXCL6|ACKR1	CXCL6	ACKR1	Secreted	CXCL
CXCL6|CXCR1	CXCL6	CXCR1	Secreted	CXCL
CXCL6|CXCR2	CXCL6	CXCR2	Secreted	CXCL
CXCL8|ACKR1	CXCL8	ACKR1	Secreted	CXCL
CXCL8|CXCR1	CXCL8	CXCR1	Secreted	CXCL
CXCL8|CXCR2	CXCL8	CXCR2	Secreted	CXCL
CXCL9|ACKR1	CXCL9	ACKR1	Secreted	CXCL
CXCL9|CXCR3	CXCL9	CXCR3	Secreted	CXCL
CYP11A1|NR1H4	CYP11A1	NR1H4	Non-protein Signaling	27HC
CYP11B1|NR3C1	CYP11B1	NR3C1	Non-protein Signaling	Cort
CYP11B1|NR3C2	CYP11B1	NR3C2	Non-protein Signaling	Cort
CYP11B2|NR3C1	CYP11B2	NR3C1	Non-protein Signaling	Aldo
CYP11B2|NR3C2	CYP11B2	NR3C2	Non-protein Signaling	Aldo
CYP17A1|AR	CYP17A1	AR	Non-protein Signaling	Androstenedione
CYP19A1|ESR1	CYP19A1	ESR1	Non-protein Signaling	Estradiol
CYP19A1|ESR2	CYP19A1	ESR2	Non-protein Signaling	Estradiol
CYP19A1|NR1I2	CYP19A1	NR1I2	Non-protein Signaling	Estradiol
CYP21A2|NR3C2	CYP21A2	NR3C2	Non-protein Signaling	Desoxycorticosterone
CYP27B1|VDR	CYP27B1	VDR	Non-protein Signaling	Calcitriol
CYP3A4|NR1H4	CYP3A4	NR1H4	Non-protein Signaling	27HC
DHCR24|RORA	DHCR24	RORA	Non-protein Signaling	Cholesterol
DHCR24|RORC	DHCR24	RORC	Non-protein Signaling	Cholesterol
DHCR7|NR1H2	DHCR7	NR1H2	Non-protein Signaling	Desmosterol
DHCR7|NR1H3	DHCR7	NR1H3	Non-protein Signaling	Desmosterol
DHCR7|RORA	DHCR7	RORA	Non-protein Signaling	Cholesterol
DHCR7|RORC	DHCR7	RORC	Non-protein Signaling	Cholesterol
DHH|PTCH1_SMO	DHH	PTCH1_SMO	Secreted	HH
DHH|PTCH2_SMO	DHH	PTCH2_SMO	Secreted	HH
DHRS9|PGR	DHRS9	PGR	Non-protein Signaling	5alphaP
DIO3_TG|THRA	DIO3_TG	THRA	Non-protein Signaling	Triiodothyronine
DIO3_TG|THRB	DIO3_TG	THRB	Non-protein Signaling	Triiodothyronine
DLK1|NOTCH1	DLK1	NOTCH1	Cell-Cell Contact	NOTCH
DLK1|NOTCH2	DLK1	NOTCH2	Cell-Cell Contact	NOTCH
DLK1|NOTCH3	DLK1	NOTCH3	Cell-Cell Contact	NOTCH
DLK1|NOTCH4	DLK1	NOTCH4	Cell-Cell Contact	NOTCH
DLL1|NOTCH1	DLL1	NOTCH1	Cell-Cell Contact	NOTCH
DLL1|NOTCH2	DLL1	NOTCH2	Cell-Cell Contact	NOTCH
DLL1|NOTCH3	DLL1	NOTCH3	Cell-Cell Contact	NOTCH
DLL1|NOTCH4	DLL1	NOTCH4	Cell-Cell Contact	NOTCH
DLL3|NOTCH1	DLL3	NOTCH1	Cell-Cell Contact	NOTCH
DLL3|NOTCH2	DLL3	NOTCH2	Cell-Cell Contact	NOTCH
DLL3|NOTCH3	DLL3	NOTCH3	Cell-Cell Contact	NOTCH
DLL3|NOTCH4	DLL3	NOTCH4	Cell-Cell Contact	NOTCH
DLL4|NOTCH1	DLL4	NOTCH1	Cell-Cell Contact	NOTCH
DLL4|NOTCH2	DLL4	NOTCH2	Cell-Cell Contact	NOTCH
DLL4|NOTCH3	DLL4	NOTCH3	Cell-Cell Contact	NOTCH
DLL4|NOTCH4	DLL4	NOTCH4	Cell-Cell Contact	NOTCH
DPEP1|CYSLTR1	DPEP1	CYSLTR1	Non-protein Signaling	CysLTs
DPEP1|CYSLTR2	DPEP1	CYSLTR2	Non-protein Signaling	CysLTs
DPEP2|CYSLTR1	DPEP2	CYSLTR1	Non-protein Signaling	CysLTs
DPEP2|CYSLTR2	DPEP2	CYSLTR2	Non-protein Signaling	CysLTs
DPEP3|CYSLTR1	DPEP3	CYSLTR1	Non-protein Signaling	CysLTs
DPEP3|CYSLTR2	DPEP3	CYSLTR2	Non-protein Signaling	CysLTs
DSC1|DSG1	DSC1	DSG1	Cell-Cell Contact	DESMOSOME
DSC1|DSG2	DSC1	DSG2	Cell-Cell Contact	DESMOSOME
DSC1|DSG3	DSC1	DSG3	Cell-Cell Contact	DESMOSOME
DSC1|DSG4	DSC1	DSG4	Cell-Cell Contact	DESMOSOME
DSC2|DSG1	DSC2	DSG1	Cell-Cell Contact	DESMOSOME
DSC2|DSG2	DSC2	DSG2	Cell-Cell Contact	DESMOSOME
DSC2|DSG3	DSC2	DSG3	Cell-Cell Contact	DESMOSOME
DSC2|DSG4	DSC2	DSG4	Cell-Cell Contact	DESMOSOME
DSC3|DSG1	DSC3	DSG1	Cell-Cell Contact	DESMOSOME
DSC3|DSG2	DSC3	DSG2	Cell-Cell Contact	DESMOSOME
DSC3|DSG3	DSC3	DSG3	Cell-Cell Contact	DESMOSOME
DSC3|DSG4	DSC3	DSG4	Cell-Cell Contact	DESMOSOME
DSPP|ITGAV_ITGB1	DSPP	ITGAV_ITGB1	ECM-Receptor	DSPP
DSPP|ITGAV_ITGB6	DSPP	ITGAV_ITGB6	ECM-Receptor	DSPP
EDA|EDA2R	EDA	EDA2R	Secreted	EDA
EDA|EDAR	EDA	EDAR	Secreted	EDA
EDN1|EDNRA	EDN1	EDNRA	Secreted	EDN
EDN1|EDNRB	EDN1	EDNRB	Secreted	EDN
EDN2|EDNRA	EDN2	EDNRA	Secreted	EDN
EDN2|EDNRB	EDN2	EDNRB	Secreted	EDN
EDN3|EDNRA	EDN3	EDNRA	Secreted	EDN
EDN3|EDNRB	EDN3	EDNRB	Secreted	EDN
EFNA1|EPHA1	EFNA1	EPHA1	Cell-Cell Contact	EPHA
EFNA1|EPHA2	EFNA1	EPHA2	Cell-Cell Contact	EPHA
EFNA1|EPHA3	EFNA1	EPHA3	Cell-Cell Contact	EPHA
EFNA1|EPHA4	EFNA1	EPHA4	Cell-Cell Contact	EPHA
EFNA1|EPHA5	EFNA1	EPHA5	Cell-Cell Contact	EPHA
EFNA1|EPHA7	EFNA1	EPHA7	Cell-Cell Contact	EPHA
EFNA1|EPHA8	EFNA1	EPHA8	Cell-Cell Contact	EPHA
EFNA2|EPHA1	EFNA2	EPHA1	Cell-Cell Contact	EPHA
EFNA2|EPHA2	EFNA2	EPHA2	Cell-Cell Contact	EPHA
EFNA2|EPHA3	EFNA2	EPHA3	Cell-Cell Contact	EPHA
EFNA2|EPHA4	EFNA2	EPHA4	Cell-Cell Contact	EPHA
EFNA2|EPHA5	EFNA2	EPHA5	Cell-Cell Contact	EPHA
EFNA2|EPHA7	EFNA2	EPHA7	Cell-Cell Contact	EPHA
EFNA2|EPHA8	EFNA2	EPHA8	Cell-Cell Contact	EPHA
EFNA3|EPHA1	EFNA3	EPHA1	Cell-Cell Contact	EPHA
EFNA3|EPHA2	EFNA3	EPHA2	Cell-Cell Contact	EPHA
EFNA3|EPHA3	EFNA3	EPHA3	Cell-Cell Contact	EPHA
EFNA3|EPHA4	EFNA3	EPHA4	Cell-Cell Contact	EPHA
EFNA3|EPHA5	EFNA3	EPHA5	Cell-Cell Contact	EPHA
EFNA3|EPHA7	EFNA3	EPHA7	Cell-Cell Contact	EPHA
EFNA3|EPHA8	EFNA3	EPHA8	Cell-Cell Contact	EPHA
EFNA4|EPHA1	EFNA4	EPHA1	Cell-Cell Contact	EPHA
EFNA4|EPHA2	EFNA4	EPHA2	Cell-Cell Contact	EPHA
EFNA4|EPHA3	EFNA4	EPHA3	Cell-Cell Contact	EPHA
EFNA4|EPHA4	EFNA4	EPHA4	Cell-Cell Contact	EPHA
EFNA4|EPHA5	EFNA4	EPHA5	Cell-Cell Contact	EPHA
EFNA4|EPHA7	EFNA4	EPHA7	Cell-Cell Contact	EPHA
EFNA4|EPHA8	EFNA4	EPHA8	Cell-Cell Contact	EPHA
EFNA5|EPHA1	EFNA5	EPHA1	Cell-Cell Contact	EPHA
EFNA5|EPHA2	EFNA5	EPHA2	Cell-Cell Contact	EPHA
EFNA5|EPHA3	EFNA5	EPHA3	Cell-Cell Contact	EPHA
EFNA5|EPHA4	EFNA5	EPHA4	Cell-Cell Contact	EPHA
EFNA5|EPHA5	EFNA5	EPHA5	Cell-Cell Contact	EPHA
EFNA5|EPHA7	EFNA5	EPHA7	Cell-Cell Contact	EPHA
EFNA5|EPHA8	EFNA5	EPHA8	Cell-Cell Contact	EPHA
EFNA5|EPHB2	EFNA5	EPHB2	Cell-Cell Contact	EPHA
EFNB1|EPHA4	EFNB1	EPHA4	Cell-Cell Contact	EPHB
